               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.048727,            0.027117,            0.011793,              0.4667,             0.62106,             0.54442,              0.2893,             0.02912,            0.011912,           0.0077083,             0.00838,             0.00838,             0.00838
                  38,            0.048758,            0.027651,            0.011673,             0.46622,             0.63169,             0.55174,             0.29695,            0.029017,            0.011935,           0.0075833,            0.008335,            0.008335,            0.008335
                  39,            0.048214,            0.026745,            0.011658,             0.46402,             0.63304,             0.54557,              0.2875,            0.029505,            0.011849,            0.007606,             0.00829,             0.00829,             0.00829
                  40,            0.048248,            0.027093,            0.011589,             0.47958,             0.62436,             0.56541,             0.29934,            0.028767,            0.011891,           0.0074027,            0.008245,            0.008245,            0.008245
                  41,            0.048382,            0.026907,            0.011687,              0.4926,             0.61906,             0.56815,             0.30963,            0.028531,            0.011766,           0.0073937,              0.0082,              0.0082,              0.0082
                  42,            0.048221,             0.02729,            0.011472,             0.45687,             0.61485,             0.54349,             0.29361,            0.029293,            0.011844,           0.0077076,            0.008155,            0.008155,            0.008155
                  43,            0.048034,            0.026886,             0.01147,             0.45596,             0.61829,             0.54286,             0.29497,             0.02892,            0.011801,            0.007641,             0.00811,             0.00811,             0.00811
                  44,            0.047718,            0.027328,            0.011415,             0.49863,             0.64186,             0.57464,             0.31342,            0.028427,            0.011687,           0.0071745,            0.008065,            0.008065,            0.008065
                  45,            0.047957,            0.026866,            0.011465,             0.47916,             0.63529,              0.5635,             0.30045,             0.02866,            0.011703,           0.0075389,             0.00802,             0.00802,             0.00802
                  46,            0.047905,            0.027058,            0.011574,             0.49144,             0.62989,              0.5832,             0.31625,            0.027989,            0.011786,           0.0073116,            0.007975,            0.007975,            0.007975
                  47,            0.047778,            0.026548,            0.011468,             0.46157,             0.63841,              0.5599,             0.30714,            0.028415,            0.011815,           0.0074948,             0.00793,             0.00793,             0.00793
                  48,            0.047463,            0.027126,            0.011261,             0.48653,             0.62017,             0.57497,             0.31413,            0.028649,            0.011727,           0.0071673,            0.007885,            0.007885,            0.007885
                  49,            0.047426,            0.026358,            0.011241,              0.4958,             0.62991,              0.5815,             0.31706,            0.028207,            0.011751,           0.0072648,             0.00784,             0.00784,             0.00784
                  50,            0.047032,            0.026457,            0.011095,             0.49361,              0.6447,             0.58227,             0.31625,            0.028435,             0.01164,           0.0070977,            0.007795,            0.007795,            0.007795
                  51,            0.046913,            0.026627,            0.011259,             0.50673,             0.62744,              0.5876,             0.32075,            0.028377,            0.011722,           0.0070504,             0.00775,             0.00775,             0.00775
                  52,            0.047101,            0.026713,            0.011201,             0.48298,             0.64994,             0.57782,             0.31391,            0.028435,            0.011671,           0.0068796,            0.007705,            0.007705,            0.007705
                  53,             0.04723,            0.026869,            0.010973,             0.49709,             0.64183,             0.58489,             0.32191,            0.028056,            0.011634,           0.0072263,             0.00766,             0.00766,             0.00766
                  54,            0.046877,            0.027233,            0.011217,             0.50769,             0.63956,             0.60718,             0.33497,            0.027975,            0.011578,           0.0067761,            0.007615,            0.007615,            0.007615
                  55,            0.046243,            0.026436,            0.011011,             0.50627,             0.65526,             0.61066,             0.33721,            0.027966,            0.011585,           0.0069887,             0.00757,             0.00757,             0.00757
                  56,            0.046537,            0.027128,            0.011055,             0.50393,             0.63347,             0.59969,             0.33201,            0.027792,            0.011643,           0.0070172,            0.007525,            0.007525,            0.007525
                  57,            0.046849,            0.026467,            0.010998,             0.52403,             0.62891,             0.60803,             0.33943,            0.027957,            0.011618,           0.0068934,             0.00748,             0.00748,             0.00748
                  58,            0.046754,            0.025955,            0.011029,             0.49068,             0.65517,             0.60077,             0.33361,             0.02753,            0.011631,           0.0069615,            0.007435,            0.007435,            0.007435
                  59,            0.046424,            0.026712,            0.010949,             0.50026,             0.64064,             0.60216,             0.33655,            0.027664,            0.011514,           0.0069638,             0.00739,             0.00739,             0.00739
                  60,            0.046156,            0.026826,            0.010849,             0.51531,             0.64921,             0.61001,             0.34117,            0.027728,            0.011517,           0.0068256,            0.007345,            0.007345,            0.007345
                  61,            0.046388,            0.026114,            0.010834,             0.51449,             0.65306,              0.6139,             0.34201,            0.027828,            0.011542,           0.0068937,              0.0073,              0.0073,              0.0073
                  62,            0.046166,             0.02579,            0.010684,             0.51095,             0.65513,             0.61693,             0.34652,            0.027557,             0.01156,           0.0068022,            0.007255,            0.007255,            0.007255
                  63,            0.046352,            0.026176,            0.010939,             0.53205,             0.60994,             0.61588,             0.34111,             0.02755,            0.011503,           0.0067999,             0.00721,             0.00721,             0.00721
                  64,            0.046384,            0.026175,            0.010822,             0.50416,             0.68007,             0.62594,             0.35147,            0.027578,            0.011491,           0.0067033,            0.007165,            0.007165,            0.007165
                  65,            0.045956,            0.026578,            0.010849,              0.5178,              0.6384,             0.61576,             0.34379,            0.027216,            0.011536,           0.0067239,             0.00712,             0.00712,             0.00712
                  66,            0.046183,            0.026915,            0.010797,             0.50799,             0.66495,             0.62214,              0.3487,            0.027317,            0.011409,           0.0067061,            0.007075,            0.007075,            0.007075
                  67,            0.045993,              0.0265,            0.010643,             0.51562,             0.66399,             0.61538,               0.346,            0.026962,            0.011462,           0.0068904,             0.00703,             0.00703,             0.00703
                  68,            0.046064,             0.02614,            0.010669,             0.52279,             0.65927,             0.62935,             0.35235,            0.027352,            0.011528,           0.0068654,            0.006985,            0.006985,            0.006985
                  69,            0.045738,            0.026277,             0.01071,              0.5281,             0.65652,             0.62875,             0.35287,            0.027071,            0.011409,           0.0066578,             0.00694,             0.00694,             0.00694
                  70,            0.045409,            0.025933,            0.010779,             0.53234,             0.65576,             0.63003,             0.35675,            0.026994,            0.011452,           0.0065483,            0.006895,            0.006895,            0.006895
                  71,            0.045583,            0.025617,            0.010487,             0.53822,             0.62954,             0.62641,             0.35159,            0.027168,            0.011353,           0.0067466,             0.00685,             0.00685,             0.00685
                  72,            0.045412,            0.025299,            0.010448,             0.52131,             0.65526,             0.62365,             0.35373,            0.027269,            0.011407,           0.0068284,            0.006805,            0.006805,            0.006805
                  73,            0.045472,            0.026231,            0.010595,             0.53852,              0.6304,             0.63515,             0.36305,            0.027193,            0.011369,           0.0065604,             0.00676,             0.00676,             0.00676
                  74,            0.045549,            0.026048,              0.0104,             0.53109,             0.66598,             0.63369,             0.35783,            0.026894,            0.011381,           0.0066138,            0.006715,            0.006715,            0.006715
                  75,            0.045035,            0.025595,            0.010388,             0.52809,             0.66574,             0.63225,             0.35842,            0.026829,            0.011364,           0.0065135,             0.00667,             0.00667,             0.00667
                  76,            0.045007,            0.025525,            0.010449,             0.53467,             0.67313,             0.64356,             0.36691,            0.026684,            0.011357,           0.0065198,            0.006625,            0.006625,            0.006625
                  77,            0.045142,            0.025559,            0.010391,              0.5341,             0.66986,               0.635,             0.35916,            0.026767,            0.011341,           0.0064476,             0.00658,             0.00658,             0.00658
                  78,            0.045678,            0.025857,             0.01036,             0.54508,             0.64692,             0.64248,             0.36703,            0.026787,            0.011338,           0.0064324,            0.006535,            0.006535,            0.006535
                  79,            0.044678,            0.025549,            0.010252,             0.54493,             0.65291,             0.64389,             0.36797,            0.026721,            0.011363,           0.0063427,             0.00649,             0.00649,             0.00649
                  80,            0.045268,            0.026316,            0.010308,             0.54174,             0.67989,             0.65482,             0.37368,            0.026616,            0.011308,           0.0064098,            0.006445,            0.006445,            0.006445
                  81,            0.044704,            0.026067,            0.010261,             0.53752,             0.64856,             0.64275,             0.36704,             0.02666,            0.011333,           0.0065001,              0.0064,              0.0064,              0.0064
                  82,            0.044804,            0.025864,            0.010315,             0.54274,             0.67394,             0.64518,             0.36766,            0.026607,            0.011286,           0.0063534,            0.006355,            0.006355,            0.006355
                  83,            0.044776,            0.025659,            0.010325,             0.53278,              0.6728,             0.64898,             0.37398,            0.026753,            0.011299,           0.0063112,             0.00631,             0.00631,             0.00631
                  84,             0.04464,            0.025734,            0.010262,               0.534,             0.67843,             0.65045,             0.37521,            0.026565,            0.011243,            0.006383,            0.006265,            0.006265,            0.006265
                  85,            0.044825,            0.025747,            0.010347,             0.54792,             0.65586,             0.64755,             0.36947,            0.027139,            0.011297,           0.0064634,             0.00622,             0.00622,             0.00622
                  86,            0.044271,            0.025234,            0.010069,              0.5487,             0.64653,             0.65041,             0.37233,            0.026703,            0.011321,           0.0064557,            0.006175,            0.006175,            0.006175
                  87,             0.04451,            0.026372,           0.0099986,             0.53628,              0.6701,             0.65018,             0.37246,             0.02685,            0.011308,           0.0063585,             0.00613,             0.00613,             0.00613
                  88,             0.04478,            0.025582,            0.010213,             0.54508,             0.66413,             0.65029,             0.37362,            0.026731,            0.011263,           0.0064561,            0.006085,            0.006085,            0.006085
                  89,            0.044271,            0.025776,            0.010144,             0.55219,             0.66932,             0.65982,             0.37942,            0.026487,            0.011272,           0.0062608,             0.00604,             0.00604,             0.00604
                  90,            0.044652,            0.026067,            0.010032,             0.53973,             0.67388,             0.65548,             0.37788,            0.026398,             0.01118,           0.0063415,            0.005995,            0.005995,            0.005995
                  91,            0.044867,            0.025202,           0.0099419,             0.55451,             0.68055,             0.66028,             0.38176,             0.02653,            0.011169,           0.0064193,             0.00595,             0.00595,             0.00595
                  92,            0.044576,            0.025569,            0.010031,             0.55207,             0.66174,             0.65765,             0.37753,            0.026696,            0.011218,            0.006423,            0.005905,            0.005905,            0.005905
                  93,            0.044533,            0.026001,             0.01015,             0.55957,             0.66128,             0.66223,             0.38247,             0.02638,            0.011235,           0.0062944,             0.00586,             0.00586,             0.00586
                  94,            0.044574,            0.025593,           0.0099755,             0.56091,             0.65929,             0.66034,             0.38065,            0.026295,             0.01123,           0.0063495,            0.005815,            0.005815,            0.005815
                  95,            0.044249,             0.02538,           0.0099705,             0.54669,              0.6726,             0.65492,             0.37689,            0.026579,            0.011252,           0.0063206,             0.00577,             0.00577,             0.00577
                  96,            0.044385,            0.025453,            0.010061,             0.56756,             0.64528,             0.65869,             0.38088,            0.026591,            0.011204,           0.0060405,            0.005725,            0.005725,            0.005725
                  97,            0.044048,            0.025648,           0.0098414,             0.55764,              0.6368,             0.65516,             0.37896,            0.026834,             0.01121,           0.0063071,             0.00568,             0.00568,             0.00568
                  98,            0.043944,            0.025838,           0.0099058,             0.54885,             0.68495,             0.65796,             0.37887,            0.026544,            0.011196,           0.0061557,            0.005635,            0.005635,            0.005635
                  99,            0.043873,             0.02539,           0.0097417,             0.56734,             0.65439,              0.6662,              0.3863,             0.02657,            0.011179,            0.006127,             0.00559,             0.00559,             0.00559
                 100,            0.043934,            0.025187,           0.0099143,             0.55299,             0.67307,             0.66291,             0.38431,            0.026432,            0.011203,           0.0061586,            0.005545,            0.005545,            0.005545
                 101,            0.043842,             0.02572,           0.0097797,             0.55395,             0.67655,             0.66384,             0.38419,            0.026471,            0.011189,           0.0060482,              0.0055,              0.0055,              0.0055
                 102,            0.043689,            0.025014,           0.0096362,              0.5437,             0.68905,             0.66343,             0.38618,            0.026273,            0.011216,           0.0060978,            0.005455,            0.005455,            0.005455
                 103,            0.044029,            0.025353,            0.009715,             0.55716,             0.66638,             0.66571,             0.38644,            0.026297,            0.011205,           0.0061132,             0.00541,             0.00541,             0.00541
                 104,            0.043672,            0.025102,           0.0097024,             0.57751,             0.64073,             0.66772,             0.38816,            0.026068,             0.01119,           0.0061611,            0.005365,            0.005365,            0.005365
                 105,            0.043823,            0.026359,           0.0095943,             0.56392,             0.65627,              0.6688,              0.3878,            0.025947,            0.011139,           0.0061067,             0.00532,             0.00532,             0.00532
                 106,            0.043658,            0.025159,           0.0097477,             0.55543,             0.67565,             0.66831,             0.38776,            0.025987,            0.011152,           0.0060877,            0.005275,            0.005275,            0.005275
                 107,            0.044145,            0.024938,           0.0098824,             0.55887,             0.67346,             0.67452,             0.39379,            0.025813,            0.011127,             0.00605,             0.00523,             0.00523,             0.00523
                 108,            0.043777,            0.025176,           0.0098451,             0.56337,             0.68163,             0.67205,             0.39116,            0.025728,            0.011115,           0.0061305,            0.005185,            0.005185,            0.005185
                 109,            0.043553,            0.025451,           0.0096683,             0.56574,             0.67466,             0.67233,             0.39115,             0.02586,            0.011102,           0.0061144,             0.00514,             0.00514,             0.00514
                 110,            0.043321,            0.025034,           0.0096485,             0.56108,             0.67852,             0.67525,             0.39355,            0.025748,            0.011071,           0.0060956,            0.005095,            0.005095,            0.005095
                 111,            0.043972,            0.025505,           0.0097106,             0.56062,             0.67985,             0.67645,              0.3933,            0.025839,            0.011069,           0.0061541,             0.00505,             0.00505,             0.00505
                 112,            0.043344,            0.025165,           0.0097543,             0.57898,             0.65998,             0.67777,             0.39659,             0.02575,            0.011043,           0.0061287,            0.005005,            0.005005,            0.005005
                 113,            0.043707,            0.025067,           0.0096505,             0.59032,             0.63676,             0.67519,             0.39482,             0.02586,            0.011056,           0.0060818,             0.00496,             0.00496,             0.00496
                 114,            0.043548,            0.024888,           0.0094487,             0.57917,             0.64989,             0.67625,             0.39826,            0.026101,            0.011062,           0.0060593,            0.004915,            0.004915,            0.004915
                 115,            0.043254,            0.025242,           0.0094101,             0.57531,             0.66569,             0.67646,             0.39656,              0.0261,            0.011082,           0.0060965,             0.00487,             0.00487,             0.00487
                 116,            0.043102,            0.025127,           0.0094371,             0.57087,             0.68025,              0.6785,              0.3982,            0.025815,            0.011073,           0.0061034,            0.004825,            0.004825,            0.004825
                 117,            0.043274,            0.025252,           0.0093312,             0.57667,             0.67888,             0.68588,             0.40189,            0.025864,            0.011091,           0.0060172,             0.00478,             0.00478,             0.00478
