epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2412.02,1.24589,1.18551,1.40436,0.58557,0.66126,0.67953,0.41582,1.2395,1.02012,1.55291,0.008614,0.008614,0.008614
44,2466.9,1.25436,1.19494,1.4012,0.59057,0.63755,0.67669,0.41597,1.22665,1.01134,1.55654,0.008581,0.008581,0.008581
45,2521.6,1.25258,1.19495,1.40088,0.55517,0.67831,0.6785,0.41609,1.23036,1.01395,1.55697,0.008548,0.008548,0.008548
46,2576.5,1.24173,1.17865,1.3943,0.57441,0.68398,0.69128,0.42305,1.23675,1.00216,1.55411,0.008515,0.008515,0.008515
47,2631.09,1.25583,1.18121,1.39678,0.56975,0.68158,0.68221,0.41989,1.2205,1.01106,1.55081,0.008482,0.008482,0.008482
48,2685.88,1.23478,1.17727,1.39057,0.58756,0.67929,0.68961,0.42096,1.22808,0.99045,1.54827,0.008449,0.008449,0.008449
49,2741.19,1.22535,1.16032,1.38194,0.59277,0.67048,0.69865,0.43084,1.21012,0.96863,1.52905,0.008416,0.008416,0.008416
50,2796.4,1.24,1.16395,1.39175,0.57814,0.67142,0.68128,0.41987,1.22746,0.98947,1.54205,0.008383,0.008383,0.008383
51,2851.83,1.23365,1.16285,1.38508,0.58782,0.66107,0.69122,0.42459,1.22247,0.98107,1.54998,0.00835,0.00835,0.00835
52,2906.36,1.23211,1.1569,1.38403,0.57177,0.69198,0.69292,0.42878,1.19889,0.98209,1.51806,0.008317,0.008317,0.008317
53,2961.43,1.22469,1.16228,1.38162,0.59043,0.6734,0.70395,0.43358,1.21248,0.96941,1.52001,0.008284,0.008284,0.008284
54,3016.85,1.22539,1.14694,1.37657,0.59629,0.67271,0.70342,0.43414,1.21812,0.96271,1.53556,0.008251,0.008251,0.008251
55,3072.12,1.2261,1.13402,1.38032,0.59554,0.68281,0.70344,0.43742,1.20402,0.95847,1.5244,0.008218,0.008218,0.008218
56,3127.58,1.23722,1.15267,1.38856,0.58202,0.70036,0.70509,0.43656,1.20371,0.96728,1.51876,0.008185,0.008185,0.008185
57,3183.43,1.21827,1.14145,1.37764,0.59811,0.69149,0.70159,0.43481,1.21721,0.96556,1.52829,0.008152,0.008152,0.008152
58,3238.57,1.21236,1.13118,1.37304,0.58447,0.69448,0.70933,0.44075,1.20053,0.93748,1.51188,0.008119,0.008119,0.008119
59,3294.54,1.22693,1.14849,1.37443,0.60258,0.67801,0.7086,0.44031,1.19885,0.951,1.51519,0.008086,0.008086,0.008086
60,3350.09,1.2193,1.13017,1.3705,0.58476,0.69722,0.70819,0.43895,1.19941,0.96034,1.50915,0.008053,0.008053,0.008053
61,3404.51,1.22478,1.12626,1.37418,0.60578,0.67606,0.70426,0.43766,1.19907,0.94588,1.52373,0.00802,0.00802,0.00802
62,3459.4,1.20985,1.12045,1.3728,0.58073,0.6955,0.69668,0.4296,1.20443,0.97317,1.51949,0.007987,0.007987,0.007987
63,3515.49,1.21157,1.11873,1.37356,0.60745,0.66889,0.7035,0.43634,1.20461,0.94398,1.52076,0.007954,0.007954,0.007954
64,3570.93,1.21581,1.10799,1.36837,0.58226,0.70697,0.70628,0.43952,1.21101,0.94152,1.52944,0.007921,0.007921,0.007921
65,3625.85,1.21286,1.11303,1.37147,0.60134,0.69454,0.71445,0.44348,1.2,0.92505,1.52862,0.007888,0.007888,0.007888
66,3680.92,1.21391,1.10919,1.37403,0.586,0.69412,0.70064,0.43569,1.19234,0.94457,1.51181,0.007855,0.007855,0.007855
67,3736.73,1.21795,1.11435,1.36472,0.61769,0.66877,0.71565,0.44391,1.19447,0.94826,1.50995,0.007822,0.007822,0.007822
68,3791.79,1.19699,1.09104,1.36234,0.58224,0.71156,0.71286,0.44611,1.18445,0.92667,1.5044,0.007789,0.007789,0.007789
69,3846.33,1.20019,1.10335,1.36532,0.57811,0.69446,0.70239,0.43855,1.18162,0.94399,1.50986,0.007756,0.007756,0.007756
70,3902.85,1.20551,1.10798,1.36928,0.59315,0.69924,0.71397,0.44684,1.1841,0.92378,1.50871,0.007723,0.007723,0.007723
71,3957.85,1.18421,1.0849,1.34989,0.58434,0.71703,0.71195,0.4477,1.17402,0.92955,1.49264,0.00769,0.00769,0.00769
72,4013.19,1.19685,1.10308,1.36305,0.6122,0.68032,0.71731,0.44801,1.17809,0.92105,1.4937,0.007657,0.007657,0.007657
73,4068.27,1.18778,1.08899,1.35841,0.60224,0.70167,0.71741,0.44866,1.18765,0.92409,1.50671,0.007624,0.007624,0.007624
74,4123.46,1.19335,1.09233,1.35486,0.60734,0.69336,0.71917,0.44923,1.19384,0.92647,1.51064,0.007591,0.007591,0.007591
75,4179.34,1.18998,1.08503,1.3574,0.59633,0.70355,0.71975,0.45111,1.17237,0.91553,1.49696,0.007558,0.007558,0.007558
76,4235.52,1.19043,1.08493,1.35428,0.62862,0.66279,0.71598,0.44956,1.18336,0.92385,1.49436,0.007525,0.007525,0.007525
77,4290.68,1.1873,1.0881,1.35405,0.59832,0.70746,0.71958,0.4512,1.18127,0.91699,1.50434,0.007492,0.007492,0.007492
78,4345.17,1.1803,1.07635,1.35805,0.59728,0.71294,0.72125,0.45097,1.17989,0.91065,1.50981,0.007459,0.007459,0.007459
79,4401.08,1.18568,1.07427,1.34846,0.59435,0.71532,0.71838,0.45175,1.17454,0.90616,1.49363,0.007426,0.007426,0.007426
80,4456.22,1.18144,1.07326,1.3587,0.60252,0.69595,0.71876,0.44923,1.17701,0.91256,1.49859,0.007393,0.007393,0.007393
81,4511.36,1.17866,1.05624,1.34115,0.59228,0.71508,0.71762,0.44848,1.17784,0.90268,1.49742,0.00736,0.00736,0.00736
82,4565.97,1.1669,1.06086,1.34684,0.59952,0.70817,0.72089,0.45454,1.17018,0.90008,1.48343,0.007327,0.007327,0.007327
83,4620.87,1.16735,1.06316,1.33871,0.60961,0.70553,0.72817,0.45887,1.16728,0.891,1.48754,0.007294,0.007294,0.007294
84,4675.2,1.181,1.06866,1.35207,0.61789,0.69727,0.72356,0.45424,1.17929,0.90391,1.49622,0.007261,0.007261,0.007261
85,4730.88,1.17498,1.06068,1.34681,0.60348,0.69656,0.72287,0.45611,1.17931,0.89732,1.49863,0.007228,0.007228,0.007228
86,4787.4,1.16865,1.04597,1.3352,0.60951,0.69971,0.72283,0.4553,1.17646,0.89807,1.49855,0.007195,0.007195,0.007195
87,4842.51,1.17422,1.06317,1.34661,0.58359,0.73204,0.72511,0.45464,1.16906,0.89408,1.49049,0.007162,0.007162,0.007162
88,4897.98,1.17053,1.05299,1.33838,0.60174,0.70719,0.72003,0.45454,1.17821,0.90498,1.49686,0.007129,0.007129,0.007129
89,4952.49,1.16876,1.04442,1.33374,0.60288,0.70619,0.72046,0.45232,1.17123,0.91133,1.4927,0.007096,0.007096,0.007096
90,5007.48,1.17624,1.05507,1.3399,0.60524,0.72138,0.7252,0.45732,1.16766,0.89891,1.49108,0.007063,0.007063,0.007063
91,5062.17,1.17897,1.05908,1.34831,0.60021,0.70613,0.72033,0.45461,1.15366,0.89284,1.48549,0.00703,0.00703,0.00703
92,5118.49,1.15897,1.04611,1.33538,0.60478,0.71095,0.72397,0.45759,1.1629,0.89554,1.4959,0.006997,0.006997,0.006997
93,5173.32,1.15977,1.04539,1.33358,0.59327,0.7335,0.72622,0.45963,1.16096,0.89459,1.48738,0.006964,0.006964,0.006964
94,5229.89,1.16234,1.04856,1.3327,0.61615,0.70384,0.72916,0.45878,1.16073,0.89486,1.48377,0.006931,0.006931,0.006931
95,5285.32,1.16092,1.04654,1.3243,0.61717,0.70844,0.72808,0.45915,1.15759,0.88929,1.47377,0.006898,0.006898,0.006898
96,5340.21,1.16995,1.03731,1.33983,0.62152,0.70761,0.72962,0.46027,1.16453,0.88461,1.48052,0.006865,0.006865,0.006865
97,5396.06,1.14236,1.02143,1.32182,0.61274,0.7024,0.72648,0.45991,1.15851,0.88392,1.47942,0.006832,0.006832,0.006832
98,5451.04,1.15402,1.02555,1.3166,0.58828,0.73633,0.72858,0.46066,1.1665,0.88023,1.49085,0.006799,0.006799,0.006799
99,5505.71,1.15608,1.03632,1.32092,0.61644,0.70716,0.72646,0.46187,1.15623,0.88515,1.47716,0.006766,0.006766,0.006766
100,5561.66,1.14469,1.02873,1.32581,0.606,0.71842,0.72737,0.45951,1.16253,0.88923,1.48578,0.006733,0.006733,0.006733
101,5616.54,1.15642,1.03048,1.32368,0.6194,0.70714,0.73169,0.46458,1.1604,0.86705,1.48967,0.0067,0.0067,0.0067
102,5671.69,1.14898,1.02384,1.32901,0.6173,0.70471,0.72755,0.46132,1.16224,0.88032,1.48879,0.006667,0.006667,0.006667
103,5726.88,1.14482,1.01612,1.32221,0.6259,0.69449,0.72846,0.46218,1.16354,0.87638,1.49037,0.006634,0.006634,0.006634
104,5781.52,1.14839,1.01187,1.32586,0.58984,0.72295,0.72532,0.46075,1.15869,0.87742,1.4901,0.006601,0.006601,0.006601
105,5836.32,1.13737,1.02154,1.32429,0.61297,0.69603,0.72774,0.4639,1.15793,0.88119,1.48131,0.006568,0.006568,0.006568
106,5891.22,1.13953,1.01999,1.31846,0.61107,0.71882,0.73444,0.46491,1.16136,0.87688,1.4867,0.006535,0.006535,0.006535
107,5946.41,1.13836,1.01351,1.3153,0.60593,0.73052,0.73504,0.46752,1.15181,0.8837,1.47131,0.006502,0.006502,0.006502
108,6000.51,1.13088,1.01081,1.3142,0.60742,0.72952,0.73408,0.46852,1.15152,0.87749,1.47754,0.006469,0.006469,0.006469
109,6056.39,1.14217,1.01192,1.31627,0.61975,0.71196,0.73284,0.46558,1.15041,0.87438,1.48166,0.006436,0.006436,0.006436
110,6111.25,1.13241,1.0089,1.31617,0.63188,0.70291,0.73412,0.4664,1.15368,0.86656,1.48176,0.006403,0.006403,0.006403
111,6166.05,1.13676,1.00468,1.31539,0.61386,0.72106,0.73216,0.46688,1.15767,0.86745,1.48806,0.00637,0.00637,0.00637
112,6221.54,1.12143,1.00503,1.30718,0.62737,0.69039,0.72991,0.46464,1.14904,0.87971,1.48425,0.006337,0.006337,0.006337
113,6276.68,1.14996,1.00923,1.31516,0.61536,0.70433,0.72793,0.46432,1.14846,0.87805,1.47502,0.006304,0.006304,0.006304
114,6331.58,1.13228,1.0092,1.3178,0.61342,0.72077,0.73137,0.46633,1.15307,0.87036,1.485,0.006271,0.006271,0.006271
115,6386.26,1.13238,1.00315,1.31705,0.62428,0.70323,0.73226,0.46614,1.14672,0.87041,1.47813,0.006238,0.006238,0.006238
116,6441.41,1.12333,0.99871,1.31389,0.62298,0.69787,0.72936,0.46343,1.14878,0.87385,1.48285,0.006205,0.006205,0.006205
117,6495.76,1.1305,1.00187,1.31021,0.62331,0.70124,0.72988,0.46349,1.1497,0.87674,1.48204,0.006172,0.006172,0.006172
118,6551.26,1.1316,1.00335,1.31372,0.62379,0.70642,0.72937,0.46316,1.15129,0.87616,1.48322,0.006139,0.006139,0.006139
119,6605.28,1.13162,0.99438,1.31424,0.61996,0.70642,0.73057,0.4646,1.1476,0.87328,1.48072,0.006106,0.006106,0.006106
120,6659.69,1.12007,0.98919,1.30505,0.62435,0.70379,0.7336,0.46553,1.14584,0.87168,1.4796,0.006073,0.006073,0.006073
121,6714.13,1.11576,0.98706,1.30245,0.60553,0.72829,0.73652,0.46751,1.14661,0.87075,1.48446,0.00604,0.00604,0.00604
122,6769.47,1.12377,0.98987,1.31104,0.59884,0.74156,0.73535,0.46746,1.14927,0.86861,1.48373,0.006007,0.006007,0.006007
123,6824.67,1.12355,0.99086,1.30087,0.63836,0.69727,0.7384,0.46765,1.15025,0.86408,1.48171,0.005974,0.005974,0.005974
124,6880.14,1.1149,0.98868,1.29956,0.62613,0.70565,0.73648,0.46656,1.14774,0.86465,1.4791,0.005941,0.005941,0.005941
125,6934.85,1.121,0.98518,1.30517,0.63372,0.70188,0.73704,0.46872,1.1531,0.86065,1.48431,0.005908,0.005908,0.005908
126,6989.29,1.10387,0.97141,1.29804,0.62227,0.70381,0.73319,0.46617,1.14866,0.87201,1.48339,0.005875,0.005875,0.005875
127,7045.14,1.11716,0.97592,1.30381,0.62064,0.70582,0.73351,0.46679,1.14906,0.8697,1.47918,0.005842,0.005842,0.005842
128,7099.42,1.10676,0.9777,1.29742,0.61695,0.70634,0.73097,0.46565,1.14527,0.8751,1.4785,0.005809,0.005809,0.005809
129,7154.17,1.12363,0.97921,1.30382,0.61296,0.71129,0.72893,0.46629,1.14531,0.87245,1.47991,0.005776,0.005776,0.005776
130,7208.26,1.11986,0.9804,1.30258,0.61706,0.71614,0.73283,0.46731,1.14457,0.86136,1.48153,0.005743,0.005743,0.005743
131,7263.63,1.10617,0.97672,1.29661,0.6192,0.71335,0.73143,0.46869,1.14419,0.86409,1.48114,0.00571,0.00571,0.00571
132,7318.01,1.10774,0.98009,1.29811,0.61317,0.71548,0.73357,0.46744,1.14578,0.8661,1.48296,0.005677,0.005677,0.005677
133,7373.51,1.11114,0.97049,1.30192,0.59993,0.7327,0.73319,0.46937,1.14373,0.86367,1.48137,0.005644,0.005644,0.005644
134,7428.73,1.10846,0.96927,1.29999,0.59976,0.73444,0.73366,0.46917,1.14329,0.86684,1.48051,0.005611,0.005611,0.005611
135,7483.75,1.10477,0.97594,1.29598,0.61415,0.71567,0.73547,0.46995,1.13906,0.86325,1.47523,0.005578,0.005578,0.005578
136,7539.04,1.09216,0.95461,1.2877,0.62007,0.71643,0.73538,0.46748,1.14191,0.86687,1.48043,0.005545,0.005545,0.005545
137,7593.73,1.10597,0.96857,1.29203,0.61192,0.72406,0.73476,0.46746,1.14275,0.86897,1.47977,0.005512,0.005512,0.005512
138,7648.32,1.1003,0.95454,1.28946,0.61629,0.71856,0.73359,0.46891,1.14362,0.8662,1.47998,0.005479,0.005479,0.005479
139,7703.05,1.1044,0.96094,1.2929,0.61885,0.72615,0.73503,0.46903,1.13945,0.86702,1.47677,0.005446,0.005446,0.005446
140,7757.69,1.10196,0.95532,1.29139,0.62198,0.71973,0.7352,0.46974,1.13957,0.86258,1.47574,0.005413,0.005413,0.005413
141,7813.21,1.08877,0.95191,1.28537,0.61495,0.72578,0.73376,0.46792,1.14179,0.86592,1.48085,0.00538,0.00538,0.00538
142,7868.39,1.10313,0.95966,1.29339,0.61405,0.72872,0.73344,0.46947,1.1434,0.86475,1.48171,0.005347,0.005347,0.005347
143,7923.89,1.10147,0.95898,1.28769,0.61037,0.73239,0.731,0.46843,1.13852,0.86832,1.47691,0.005314,0.005314,0.005314
144,7979.96,1.09743,0.95769,1.29011,0.60772,0.72808,0.72995,0.46864,1.13906,0.86884,1.47722,0.005281,0.005281,0.005281
145,8034.94,1.106,0.96176,1.29564,0.60667,0.72907,0.73032,0.46876,1.14021,0.87073,1.47917,0.005248,0.005248,0.005248
146,8089.2,1.09819,0.95997,1.28956,0.61372,0.71656,0.73203,0.46988,1.13988,0.87047,1.47634,0.005215,0.005215,0.005215
147,8144.14,1.09075,0.94955,1.2875,0.62226,0.70934,0.73346,0.47022,1.14065,0.86856,1.478,0.005182,0.005182,0.005182
148,8198.86,1.095,0.95256,1.29067,0.62542,0.70425,0.73275,0.46844,1.14143,0.87273,1.47817,0.005149,0.005149,0.005149
149,8253.47,1.09225,0.94562,1.2824,0.63006,0.70321,0.73379,0.46885,1.14264,0.87334,1.47875,0.005116,0.005116,0.005116
150,8308.78,1.08989,0.94864,1.28203,0.6211,0.71463,0.73414,0.46951,1.14144,0.87344,1.47799,0.005083,0.005083,0.005083
151,8364.34,1.08999,0.95143,1.2906,0.62113,0.70982,0.73244,0.46858,1.14031,0.872,1.475,0.00505,0.00505,0.00505
152,8419.22,1.07631,0.93357,1.27809,0.61739,0.7165,0.73098,0.46842,1.14051,0.87161,1.47732,0.005017,0.005017,0.005017
153,8474.36,1.08104,0.94104,1.28139,0.61412,0.72096,0.73048,0.46843,1.142,0.87006,1.47979,0.004984,0.004984,0.004984
154,8529.87,1.08944,0.94699,1.28455,0.62465,0.70236,0.72953,0.46781,1.14038,0.87038,1.47797,0.004951,0.004951,0.004951
155,8585.01,1.08073,0.93822,1.28442,0.61995,0.71245,0.72977,0.46736,1.13878,0.87222,1.4772,0.004918,0.004918,0.004918
156,8639.97,1.07798,0.93286,1.27773,0.62801,0.70715,0.73069,0.46824,1.13884,0.87227,1.47761,0.004885,0.004885,0.004885
157,8696.08,1.06417,0.93849,1.27699,0.62697,0.70153,0.72935,0.46727,1.13858,0.87474,1.47695,0.004852,0.004852,0.004852
158,8751.91,1.07452,0.93309,1.27474,0.62273,0.70465,0.72987,0.46732,1.13605,0.87131,1.47641,0.004819,0.004819,0.004819
159,8806.7,1.07637,0.93345,1.27335,0.6243,0.70617,0.72924,0.4668,1.13553,0.87042,1.47541,0.004786,0.004786,0.004786
160,8861.65,1.07374,0.91829,1.27174,0.62204,0.71081,0.73022,0.46821,1.13302,0.87044,1.47412,0.004753,0.004753,0.004753
161,8916.18,1.06771,0.9321,1.27581,0.6179,0.71855,0.73187,0.46879,1.13263,0.86903,1.4733,0.00472,0.00472,0.00472
162,8970.7,1.06508,0.92772,1.27138,0.61494,0.72268,0.73297,0.46929,1.13268,0.86701,1.47299,0.004687,0.004687,0.004687
163,9026.23,1.07889,0.93481,1.27165,0.61721,0.72155,0.73222,0.46917,1.13398,0.86685,1.47451,0.004654,0.004654,0.004654
164,9080.72,1.0637,0.92272,1.27445,0.61699,0.71802,0.73204,0.46978,1.13672,0.86563,1.47635,0.004621,0.004621,0.004621
165,9135.71,1.06942,0.92252,1.27144,0.61453,0.72039,0.73262,0.46864,1.13896,0.86493,1.47923,0.004588,0.004588,0.004588
166,9191.74,1.0681,0.9234,1.275,0.61337,0.7204,0.73267,0.46901,1.13908,0.86608,1.47849,0.004555,0.004555,0.004555
167,9246.81,1.06927,0.91452,1.27035,0.60622,0.7259,0.73198,0.46962,1.139,0.86848,1.47853,0.004522,0.004522,0.004522
168,9301.63,1.06185,0.92156,1.27338,0.60794,0.72795,0.73206,0.46936,1.13696,0.8708,1.47721,0.004489,0.004489,0.004489
169,9355.88,1.05831,0.91618,1.26914,0.60601,0.72839,0.73158,0.47009,1.13579,0.87151,1.47714,0.004456,0.004456,0.004456
170,9411.24,1.06065,0.92371,1.26364,0.60655,0.72329,0.73059,0.46985,1.13578,0.87117,1.47874,0.004423,0.004423,0.004423
171,9465.95,1.06363,0.916,1.27121,0.60753,0.72613,0.73061,0.46972,1.13667,0.87304,1.4799,0.00439,0.00439,0.00439
172,9521,1.0562,0.90006,1.26056,0.60897,0.72584,0.73046,0.46997,1.13526,0.87487,1.47839,0.004357,0.004357,0.004357
173,9575.32,1.05474,0.91007,1.26297,0.61035,0.72435,0.72878,0.46982,1.13542,0.87509,1.47918,0.004324,0.004324,0.004324
174,9631.37,1.04803,0.91043,1.26119,0.61157,0.72019,0.72911,0.47057,1.1348,0.87589,1.47907,0.004291,0.004291,0.004291
175,9687.26,1.05356,0.91495,1.26878,0.61065,0.72067,0.72886,0.46964,1.13315,0.87664,1.47784,0.004258,0.004258,0.004258
176,9743.5,1.05423,0.90767,1.26524,0.61202,0.72086,0.72887,0.46955,1.13295,0.87792,1.47834,0.004225,0.004225,0.004225
177,9798.83,1.05821,0.9046,1.26655,0.60695,0.72512,0.72885,0.46969,1.13207,0.87755,1.47831,0.004192,0.004192,0.004192
