               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.044356,            0.026577,           0.0098455,              0.5165,             0.67452,             0.59318,             0.33078,            0.027193,            0.013625,            0.007117,             0.00892,             0.00892,             0.00892
                  38,            0.043973,            0.026184,           0.0096351,             0.52157,             0.67336,             0.59433,             0.32787,            0.027674,            0.013634,           0.0070949,             0.00889,             0.00889,             0.00889
                  39,            0.044278,            0.026709,           0.0097909,             0.51779,             0.66223,             0.59853,             0.33261,            0.027508,            0.013692,           0.0071765,             0.00886,             0.00886,             0.00886
                  40,            0.044459,            0.026852,           0.0097661,             0.53868,             0.65676,              0.5813,              0.3228,            0.027005,            0.013785,           0.0069927,             0.00883,             0.00883,             0.00883
                  41,            0.043577,            0.026607,           0.0096063,             0.51548,             0.66661,             0.59737,             0.32833,            0.027763,            0.013792,            0.006763,              0.0088,              0.0088,              0.0088
                  42,            0.044152,             0.02635,           0.0095866,             0.53002,             0.65718,             0.60406,             0.33122,            0.027033,            0.013622,            0.007234,             0.00877,             0.00877,             0.00877
                  43,            0.044329,            0.026868,           0.0096648,             0.53084,             0.66962,             0.60374,             0.33752,            0.027423,            0.013558,           0.0066863,             0.00874,             0.00874,             0.00874
                  44,            0.043855,             0.02716,           0.0096113,             0.54829,             0.67299,             0.62269,             0.34695,            0.026927,              0.0136,            0.006517,             0.00871,             0.00871,             0.00871
                  45,            0.043757,            0.026844,           0.0095484,             0.51651,             0.68263,             0.59182,              0.3295,            0.026977,            0.013825,           0.0066847,             0.00868,             0.00868,             0.00868
                  46,            0.044237,             0.02734,             0.00963,             0.53953,             0.66207,             0.60835,             0.33582,            0.027236,              0.0136,           0.0066442,             0.00865,             0.00865,             0.00865
                  47,            0.043704,            0.026483,           0.0095128,             0.54467,             0.65956,             0.61151,             0.33696,            0.027523,            0.013532,           0.0069379,             0.00862,             0.00862,             0.00862
                  48,            0.044238,            0.027446,           0.0094553,             0.53521,             0.66583,             0.59167,             0.32728,            0.026829,            0.013564,            0.006943,             0.00859,             0.00859,             0.00859
                  49,            0.043957,            0.026177,           0.0095959,             0.51138,             0.66784,             0.60262,             0.32645,            0.027556,            0.013565,            0.007166,             0.00856,             0.00856,             0.00856
                  50,            0.043797,            0.026073,           0.0093387,             0.52873,             0.66928,             0.60523,             0.34055,            0.027636,            0.013668,           0.0064699,             0.00853,             0.00853,             0.00853
                  51,            0.043118,            0.025959,           0.0093028,              0.5361,             0.68004,             0.61867,              0.3438,            0.028112,             0.01368,           0.0063635,              0.0085,              0.0085,              0.0085
                  52,            0.043748,            0.027513,            0.009203,               0.542,              0.6673,             0.61502,             0.34741,            0.027696,            0.013579,           0.0063842,             0.00847,             0.00847,             0.00847
                  53,            0.043404,            0.026625,           0.0092161,             0.55131,             0.66427,               0.621,             0.34402,            0.026997,            0.013575,           0.0067319,             0.00844,             0.00844,             0.00844
                  54,             0.04364,            0.026711,           0.0090603,              0.5236,             0.70989,             0.60448,             0.33135,            0.027755,            0.013575,           0.0066541,             0.00841,             0.00841,             0.00841
                  55,            0.043623,            0.025589,           0.0091525,              0.5393,             0.65008,             0.60142,             0.33327,            0.027662,             0.01358,           0.0068079,             0.00838,             0.00838,             0.00838
                  56,              0.0434,            0.026489,           0.0092805,             0.54979,             0.66188,             0.61605,             0.33859,             0.02765,            0.013506,           0.0067525,             0.00835,             0.00835,             0.00835
                  57,            0.043019,            0.025902,           0.0090901,             0.54497,             0.69332,             0.61927,             0.34324,            0.027347,            0.013473,             0.00654,             0.00832,             0.00832,             0.00832
                  58,            0.043496,            0.026389,           0.0092228,             0.55899,              0.6617,             0.62144,             0.34458,            0.026878,            0.013498,           0.0062147,             0.00829,             0.00829,             0.00829
                  59,            0.043203,            0.026735,           0.0090659,             0.53704,             0.70813,              0.6254,             0.34985,            0.027548,            0.013545,           0.0067873,             0.00826,             0.00826,             0.00826
                  60,            0.042432,            0.025952,           0.0089374,             0.54899,             0.66247,             0.61413,             0.34388,            0.027774,            0.013699,           0.0069219,             0.00823,             0.00823,             0.00823
                  61,            0.043375,            0.025962,           0.0088947,             0.54057,             0.66651,             0.61748,             0.34025,            0.027034,            0.013705,           0.0062541,              0.0082,              0.0082,              0.0082
                  62,             0.04294,            0.026253,           0.0089935,             0.54916,              0.6857,             0.61753,              0.3428,            0.027431,            0.013679,           0.0066355,             0.00817,             0.00817,             0.00817
                  63,            0.042596,            0.025797,           0.0088364,             0.53936,             0.68273,             0.61385,             0.34716,            0.026904,            0.013706,           0.0066087,             0.00814,             0.00814,             0.00814
                  64,            0.042999,            0.026401,           0.0090494,             0.54924,             0.68396,             0.62687,             0.35016,            0.027003,            0.013471,           0.0063497,             0.00811,             0.00811,             0.00811
                  65,             0.04279,            0.025918,           0.0086573,              0.5561,             0.65055,             0.61952,             0.35517,            0.027372,            0.013591,           0.0064644,             0.00808,             0.00808,             0.00808
                  66,            0.042613,            0.026541,            0.008838,             0.53563,             0.70051,             0.62884,             0.35879,            0.027913,            0.013703,           0.0064428,             0.00805,             0.00805,             0.00805
                  67,            0.042183,            0.025755,           0.0088002,              0.5512,             0.66452,             0.63208,             0.35526,            0.027224,            0.013463,           0.0061168,             0.00802,             0.00802,             0.00802
                  68,            0.043111,            0.026376,           0.0088133,             0.54053,             0.67998,             0.62086,             0.34795,            0.027649,            0.013597,           0.0063332,             0.00799,             0.00799,             0.00799
                  69,             0.04226,            0.026367,           0.0086212,             0.55299,              0.6677,             0.61832,             0.34433,            0.027463,            0.013509,           0.0063663,             0.00796,             0.00796,             0.00796
                  70,            0.042419,            0.026228,           0.0085622,              0.5406,             0.70606,              0.6269,             0.35213,             0.02777,            0.013379,           0.0065567,             0.00793,             0.00793,             0.00793
